App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Minimum Android Ver,Genres
All Social Networks,Social,4.2,22492,1.5,1000000,Free,0,Others,"May 21, 2018",2.4.12,4,Social
Fo File Manager,Tools,4.5,1916,0.35547,100000,Free,0,Others,"December 31, 2015",1.8.8,2.1,Tools
CV-Library Job Search,Business,4.4,6997,4.6,100000,Free,0,Others,"July 6, 2018",6.8.0,4.1,Business
Order & Chaos 2: 3D MMO RPG,Family,4.1,242722,54,10000000,Free,0,Teen,"July 9, 2018",3.1.2b,4.0.3,Role Playing
Be My Princess,Family,4.2,3103,8.8,100000,Free,0,Teen,"September 19, 2017",6.5,2.2,Entertainment
How To Color Disney Princess - Coloring Pages,Art And Design,4,591,9.4,500000,Free,0,Others,"March 31, 2018",1,4,Art & Design
K-9 Material (unofficial),Communication,4.4,64,4.5,5000,Free,0,Teen,"March 27, 2017",5.206,5,Communication
Paint Hit,Game,4.4,37023,33,10000000,Free,0,Others,"July 6, 2018",5.2,5,Casual
Writing Wizard Premium - Handwriting,Family,4.1,89,33,5000,Paid,4.49,Others,"December 3, 2017",2.5.0,4.0.3,Education
Twilight: Blue light filter,Health And Fitness,4.6,318134,1,5000000,Free,0,Others,"May 29, 2018",Varies with device,-1,Health & Fitness
Nasihat - Chalo ae Pyaara,Family,4.7,557,6.7,10000,Free,0,Others,"October 9, 2015",1,2.1,Education
Modern Counter Terrorist FPS Shoot,Game,4,795,41,100000,Free,0,Teen,"August 29, 2017",1.2,2.3,Action
M-Sight Pro,Video Players,3.3,30,15,5000,Free,0,Others,"July 25, 2018",3.1.0.1-r4,4,Video Players & Editors
Be you GO Launcher Theme,Personalization,4.3,1580,3.6,100000,Free,0,Others,"November 12, 2014",v1.0,2.3,Personalization
Jump'N'Shoot Attack,Game,4.1,155,32,1000,Paid,2.49,Others,"May 26, 2018",1.2,4.1,Arcade
Jazz Wi-Fi,Communication,3.4,49,4,10000,Free,0,Others,"February 10, 2017",0.1,2.3,Communication
The SCP Foundation DB fr nn5n,Books And Reference,4.5,114,1,1000,Free,0,Teen,"January 19, 2015",Varies with device,-1,Books & Reference
Shoulder Surgery ER Emergency Doctor Game,Family,3.9,55,46,10000,Free,0,Teen,"November 7, 2017",1.0.1,4,Educational
El Laberinto del Demonio 2,Family,4.1,3654,25,100000,Free,0,Teen,"April 14, 2017",1.0.1,4,Puzzle
Stick War: Legacy,Game,4.6,811040,77,10000000,Free,0,Teen,"May 10, 2018",1.7.04,4.4,Strategy
Plants vs. Zombies™ 2,Family,4.4,567632,15,10000000,Free,0,Others,"June 12, 2018",6.8.1,4.1,Casual
FarmersOnly Dating,Dating,3,1146,1.4,100000,Free,0,Teen,"February 25, 2016",2.2,4,Dating
Workout Tracker & Gym Trainer - Fitness Log Book,Health And Fitness,4.6,5420,21,500000,Free,0,Others,"June 5, 2018",2.48.3,4.1,Health & Fitness
Horoscopes – Daily Zodiac Horoscope and Astrology,Lifestyle,4.6,161143,11,10000000,Free,0,Others,"June 25, 2018",5.2.4(881),4.0.3,Lifestyle
Profile Tracker - Who Viewed My Facebook Profile,Social,4.7,37090,4.8,500000,Free,0,Teen,"August 1, 2018",5.4,4.1,Social
30WPM Amateur ham radio Koch CW Morse code trainer,Family,5,1,3.7,10,Paid,1.49,Others,"May 18, 2018",2.0.2,2.1,Education
Battle of Zombies: Clans War,Family,4.1,488039,58,10000000,Free,0,Teen,"November 15, 2017",1.0.175,2.3.3,Strategy
Fox Business,Finance,3.7,2594,1,500000,Free,0,Others,"March 13, 2018",Varies with device,-1,Finance
Gas Station,Auto And Vehicles,4,1288,4.5,100000,Free,0,Others,"April 21, 2018",2.17,4,Auto & Vehicles
Flame - درب عقلك يوميا,Education,4.6,56065,37,1000000,Free,0,Others,"July 26, 2018",3.3,4.1,Education
Jewels classic Prince,Game,4.4,47644,15,5000000,Free,0,Others,"June 15, 2018",2.4.2,4,Puzzle
NY mobilbank DK - Danske Bank,Finance,2.8,851,30,100000,Free,0,Others,"June 26, 2018",0.38.1,4.3,Finance
AI Draw | Art Filter for Selfie,Photography,3,20,4.3,1000,Paid,2.99,Others,"June 18, 2018",1.4.7,5,Photography
Formula DRIFT,Sports,4.6,169,19,10000,Free,0,Others,"July 27, 2018",2.0.855.33,4.0.3,Sports
Wallpapers FN SCAR H,Personalization,5,4,9.2,100,Free,0,Teen,"April 12, 2018",1,4.1,Personalization
Abs Workout - Burn Belly Fat with No Equipment,Health And Fitness,4.8,69279,10,10000000,Free,0,Others,"July 23, 2018",1.1.8,4.2,Health & Fitness
ECナビ×シュフー,Lifestyle,4,576,7.4,50000,Free,0,Others,"June 7, 2018",1.0.2,4,Lifestyle
Long Realty AZ Home Search,Lifestyle,4.4,132,33,10000,Free,0,Others,"March 6, 2018",5.805.180306,4.1,Lifestyle
Baby Sleep: White noise lullabies for newborns,Parenting,4.6,62386,3.4,1000000,Free,0,Others,"June 12, 2018",2.7,4,Parenting
ODTMobile v4,Business,4,3,16,1000,Free,0,Others,"April 17, 2018",1.1,4.1,Business
Authy 2-Factor Authentication,Tools,4.3,15070,6.3,1000000,Free,0,Others,"July 30, 2018",23.2.7,4.0.3,Tools
Sid Story,Game,4.4,28510,78,500000,Free,0,Teen,"August 1, 2018",2.6.6,4.0.3,Card
Dog Run - Pet Dog Simulator,Family,4.7,48615,24,10000000,Free,0,Others,"May 22, 2018",1.4.12,4.1,Simulation
HD Camera,Photography,4.3,49680,8.7,5000000,Free,0,Others,"July 11, 2018",1.8.5,4.2,Photography
4K Wallpapers and Ultra HD Backgrounds,Personalization,4.6,7583,3.8,500000,Free,0,Others,"July 4, 2018",2.6.2.1,4.0.3,Personalization
WiFi Automatic,Tools,4.1,10595,1,1000000,Free,0,Others,"March 18, 2018",Varies with device,-1,Tools
M3-X5-X6-M-İ3-İ8 RACİNG 2018,Game,4.4,596,44,100000,Free,0,Others,"February 12, 2017","1,01",4,Arcade
R-TYPE II,Game,4.3,5682,37,50000,Paid,1.99,Others,"March 2, 2017",1.1.5,2.3.3,Arcade
BL info,Travel And Local,4.1,98,2,5000,Free,0,Others,"July 17, 2018",2,4.3,Travel & Local
